q_locus_tag	cc_id
EQU24_RS08305	29
EQU24_RS08305	29
EQU24_RS08305	29
EQU24_RS08330	84
EQU24_RS08330	84
EQU24_RS08335	85
EQU24_RS08350	85
EQU24_RS08495	86
EQU24_RS08495	86
EQU24_RS08500	86
EQU24_RS08525	48
EQU24_RS08555	87
EQU24_RS08560	87
EQU24_RS08615	88
EQU24_RS08620	88
EQU24_RS08820	74
EQU24_RS08820	74
EQU24_RS08820	74
EQU24_RS08830	89
EQU24_RS08850	90
EQU24_RS08855	90
EQU24_RS08860	42
EQU24_RS08860	42
EQU24_RS08860	42
EQU24_RS08975	91
EQU24_RS09090	92
EQU24_RS09100	92
EQU24_RS09280	29
EQU24_RS09285	93
EQU24_RS09290	93
EQU24_RS09300	42
EQU24_RS09300	42
EQU24_RS09300	42
EQU24_RS09330	94
EQU24_RS09335	94
EQU24_RS09410	95
EQU24_RS09415	95
EQU24_RS09475	96
EQU24_RS09480	96
EQU24_RS09560	47
EQU24_RS09570	1
EQU24_RS09570	1
EQU24_RS09570	1
EQU24_RS09650	97
EQU24_RS09655	97
EQU24_RS09720	98
EQU24_RS09725	98
EQU24_RS09750	53
EQU24_RS09750	53
EQU24_RS09750	53
EQU24_RS09870	38
EQU24_RS09890	99
EQU24_RS09895	99
EQU24_RS09915	26
EQU24_RS10015	74
EQU24_RS10015	74
EQU24_RS10015	74
EQU24_RS10055	100
EQU24_RS10060	100
EQU24_RS10070	29
EQU24_RS10080	29
EQU24_RS10080	29
EQU24_RS10080	29
EQU24_RS10080	29
EQU24_RS10080	29
EQU24_RS10080	29
EQU24_RS10125	101
EQU24_RS10130	101
EQU24_RS10155	11
EQU24_RS10250	102
EQU24_RS10255	102
EQU24_RS10440	103
EQU24_RS10445	103
EQU24_RS10505	104
EQU24_RS10705	20
EQU24_RS10705	20
EQU24_RS10755	105
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS10795	11
EQU24_RS11065	106
EQU24_RS11070	106
EQU24_RS11165	107
EQU24_RS11175	1
EQU24_RS11375	3
EQU24_RS11375	3
EQU24_RS11435	108
EQU24_RS11490	54
EQU24_RS11510	109
EQU24_RS11515	109
EQU24_RS11555	110
EQU24_RS11560	110
EQU24_RS11645	111
EQU24_RS11675	112
EQU24_RS11710	113
EQU24_RS11715	113
EQU24_RS11900	16
EQU24_RS11905	56
EQU24_RS11970	44
EQU24_RS12090	47
EQU24_RS12425	11
EQU24_RS12500	114
EQU24_RS12595	79
EQU24_RS12670	115
EQU24_RS12675	115
EQU24_RS12750	116
EQU24_RS12780	37
EQU24_RS12790	117
EQU24_RS12795	117
EQU24_RS12810	42
EQU24_RS12810	42
EQU24_RS12810	42
EQU24_RS13010	118
EQU24_RS13020	118
EQU24_RS13245	119
EQU24_RS13250	119
EQU24_RS13330	120
EQU24_RS13335	120
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13595	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13600	11
EQU24_RS13815	53
EQU24_RS13815	53
EQU24_RS13815	53
EQU24_RS14000	121
EQU24_RS14005	121
EQU24_RS14060	122
EQU24_RS14065	122
EQU24_RS14180	123
EQU24_RS14185	123
EQU24_RS14190	1
EQU24_RS14190	1
EQU24_RS14190	1
EQU24_RS14225	124
EQU24_RS14230	124
EQU24_RS14240	125
EQU24_RS14300	126
EQU24_RS14305	126
EQU24_RS14325	34
EQU24_RS14325	34
EQU24_RS14325	34
EQU24_RS14485	26
EQU24_RS14485	26
EQU24_RS14485	26
EQU24_RS14485	26
EQU24_RS14485	26
EQU24_RS14485	26
EQU24_RS14505	35
EQU24_RS14515	34
EQU24_RS14515	34
EQU24_RS14515	34
EQU24_RS14515	34
EQU24_RS14675	26
EQU24_RS14675	26
EQU24_RS14675	26
EQU24_RS14675	26
EQU24_RS14675	26
EQU24_RS14675	26
EQU24_RS14745	84
EQU24_RS14745	84
EQU24_RS14950	127
EQU24_RS14955	127
EQU24_RS14970	128
EQU24_RS14975	128
EQU24_RS14995	129
EQU24_RS15000	129
EQU24_RS15125	130
EQU24_RS15130	130
EQU24_RS15145	131
EQU24_RS15150	131
EQU24_RS15255	132
EQU24_RS15260	132
EQU24_RS15275	133
EQU24_RS15280	133
EQU24_RS15290	67
EQU24_RS15340	108
EQU24_RS15460	84
EQU24_RS15460	84
EQU24_RS15635	134
EQU24_RS15660	135
EQU24_RS15825	136
EQU24_RS15835	136
EQU24_RS16140	64
EQU24_RS16565	137
EQU24_RS16570	137
EQU24_RS16770	138
EQU24_RS16775	138
EQU24_RS16855	139
EQU24_RS16860	139
EQU24_RS16960	140
EQU24_RS16965	140
EQU24_RS16985	69
EQU24_RS16985	69
EQU24_RS17265	141
EQU24_RS17270	141
EQU24_RS17360	142
EQU24_RS17365	142
EQU24_RS17520	116
EQU24_RS17600	86
EQU24_RS17600	86
EQU24_RS17605	86
EQU24_RS17665	89
EQU24_RS17780	143
EQU24_RS17785	143
EQU24_RS17830	144
EQU24_RS17830	144
EQU24_RS17835	144
EQU24_RS17835	144
EQU24_RS17840	29
EQU24_RS17840	29
EQU24_RS17840	29
EQU24_RS17840	29
EQU24_RS17840	29
EQU24_RS17885	69
EQU24_RS17885	69
EQU24_RS17900	53
EQU24_RS17900	53
EQU24_RS17900	53
EQU24_RS18140	145
EQU24_RS18145	145
EQU24_RS18290	7
EQU24_RS18420	146
EQU24_RS18425	146
EQU24_RS18600	147
EQU24_RS18605	147
EQU24_RS18785	148
EQU24_RS18790	148
EQU24_RS18805	125
EQU24_RS18835	10
EQU24_RS18835	10
EQU24_RS18840	9
EQU24_RS18840	9
EQU24_RS18855	8
EQU24_RS18855	8
EQU24_RS18925	149
EQU24_RS18930	149
EQU24_RS19000	150
EQU24_RS19005	150
EQU24_RS19090	134
EQU24_RS19125	151
EQU24_RS19130	151
EQU24_RS19135	152
EQU24_RS19140	152
EQU24_RS19190	153
EQU24_RS19195	153
EQU24_RS19225	154
EQU24_RS19230	154
EQU24_RS19240	76
EQU24_RS19245	155
EQU24_RS19250	155
EQU24_RS19490	64
EQU24_RS19490	64
EQU24_RS19490	64
EQU24_RS19585	91
EQU24_RS19590	156
EQU24_RS19595	156
EQU24_RS19800	157
EQU24_RS19805	157
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19825	11
EQU24_RS19890	19
EQU24_RS19950	34
EQU24_RS19950	34
EQU24_RS19950	34
EQU24_RS20040	11
EQU24_RS20055	34
EQU24_RS20055	34
EQU24_RS20055	34
EQU24_RS20055	34
EQU24_RS20055	34
EQU24_RS20145	29
EQU24_RS20145	29
EQU24_RS20145	29
EQU24_RS20145	29
EQU24_RS20355	158
EQU24_RS20360	158
EQU24_RS20520	159
EQU24_RS20525	159
EQU24_RS20620	160
EQU24_RS20725	161
EQU24_RS20730	161
EQU24_RS20775	162
EQU24_RS20780	162
EQU24_RS20825	163
EQU24_RS20855	164
EQU24_RS20860	164
EQU24_RS20915	165
EQU24_RS20920	165
EQU24_RS21025	166
EQU24_RS21030	166
EQU24_RS21040	167
EQU24_RS21045	167
EQU24_RS21275	107
EQU24_RS21315	168
EQU24_RS21320	168
EQU24_RS21340	144
EQU24_RS21340	144
EQU24_RS21575	169
EQU24_RS21575	169
EQU24_RS21575	169
EQU24_RS21585	170
EQU24_RS21585	170
EQU24_RS21590	169
EQU24_RS21590	169
EQU24_RS21590	169
EQU24_RS21600	170
EQU24_RS21600	170
EQU24_RS21605	169
EQU24_RS21605	169
EQU24_RS21605	169
EQU24_RS21615	170
EQU24_RS21615	170
EQU24_RS21620	169
EQU24_RS21620	169
EQU24_RS21620	169
EQU24_RS21630	171
EQU24_RS21705	172
EQU24_RS21710	172
EQU24_RS21715	173
