model_name	split	mac_precision	mac_recall	mac_f1	support	model_type	ds_size	seq_len	fold	best_val_score	epoch_stop	total_time
2CNN_pool_fold3_150bp_2000seqs	test	0.362927054478301	0.3744218248239696	0.3666914375361241	400	2CNN_pool	2000	150	3	0.5269892984628677	1177	84.01155614852905
2CNN_fold0_50bp_6000seqs	train	0.9697802197802198	0.999716914366596	0.9842764720876204	4800	2CNN	6000	50	0	0.0730195935318867	2012	334.5561738014221
2CNN_fold0_50bp_6000seqs	test	0.6223078240027392	0.6071411454589025	0.611183046906424	1200	2CNN	6000	50	0	0.0730195935318867	2012	334.5561738014221
CNN_simple_fold0_150bp_10000seqs	train	0.7392387349566191	0.9858260019550342	0.8304887376551996	8000	CNN_simple	10000	150	0	0.4901086201667786	330	152.7244369983673
CNN_simple_fold0_150bp_10000seqs	test	0.3382391717695665	0.3389476525418882	0.3376075651604872	2000	CNN_simple	10000	150	0	0.4901086201667786	330	152.7244369983673
2CNN_pool_fold1_150bp_10000seqs	train	0.9985693848354792	0.9999555674042478	0.9992609363431972	8000	2CNN_pool	10000	150	1	0.0449685277044773	2345	726.041660785675
2CNN_pool_fold1_150bp_10000seqs	test	0.9584136885365822	0.9928306513409962	0.9750127965331103	2000	2CNN_pool	10000	150	1	0.0449685277044773	2345	726.041660785675
2CNN_fold3_300bp_6000seqs	train	0.669331211283586	0.948588557073478	0.7511664405134687	4800	2CNN	6000	300	3	0.8777219748497009	222	116.52801942825316
2CNN_fold3_300bp_6000seqs	test	0.3220607790031159	0.3136039399197294	0.3090395970036721	1200	2CNN	6000	300	3	0.8777219748497009	222	116.52801942825316
2CNN_pool_fold3_50bp_6000seqs	train	0.7544795783926218	0.9959660297239916	0.8456620516516759	4800	2CNN_pool	6000	50	3	0.0901545974363883	2827	435.0859463214874
2CNN_pool_fold3_50bp_6000seqs	test	0.595654305200341	0.8655795917478161	0.6780196704123961	1200	2CNN_pool	6000	50	3	0.0901545974363883	2827	435.0859463214874
2CNN_fold4_300bp_6000seqs	train	0.7798604509336156	0.9730333492899312	0.8498200324617682	4800	2CNN	6000	300	4	0.852017814318339	327	132.91715097427368
2CNN_fold4_300bp_6000seqs	test	0.3291524097932738	0.3230664072769336	0.3240455774920481	1200	2CNN	6000	300	4	0.852017814318339	327	132.91715097427368
CNN_simple_fold1_50bp_2000seqs	train	0.8157575757575758	0.9972328650489568	0.8917155209728506	1600	CNN_simple	2000	50	1	0.2096118116378784	516	33.12496829032898
CNN_simple_fold1_50bp_2000seqs	test	0.4376762549351382	0.3957374254049446	0.4111464968152866	400	CNN_simple	2000	50	1	0.2096118116378784	516	33.12496829032898
2CNN_fold1_150bp_2000seqs	train	0.7969696969696969	0.9890600580486716	0.8736318262526265	1600	2CNN	2000	150	1	0.5680187320709229	420	45.93039298057556
2CNN_fold1_150bp_2000seqs	test	0.3607694688474632	0.3744218248239696	0.364064532916992	400	2CNN	2000	150	1	0.5680187320709229	420	45.93039298057556
2CNN_pool_fold4_50bp_6000seqs	train	0.6581439393939393	0.9933474876150036	0.7659904771025584	4800	2CNN_pool	6000	50	4	0.0957361872990926	1614	278.27188539505005
2CNN_pool_fold4_50bp_6000seqs	test	0.5525225340680935	0.7481972855804632	0.6181703206278145	1200	2CNN_pool	6000	50	4	0.0957361872990926	1614	278.27188539505005
2CNN_pool_fold0_50bp_6000seqs	train	0.6847034821718365	0.994338287331918	0.7902538326049888	4800	2CNN_pool	6000	50	0	0.1003753001987934	2938	454.5658352375031
2CNN_pool_fold0_50bp_6000seqs	test	0.5532467532467532	0.7632986950743961	0.6225834366430837	1200	2CNN_pool	6000	50	0	0.1003753001987934	2938	454.5658352375031
CNN_simple_fold0_50bp_10000seqs	train	0.7991596638655462	0.9970663265306122	0.880297209899371	8000	CNN_simple	10000	50	0	0.1837586665153503	707	193.5289764404297
CNN_simple_fold0_50bp_10000seqs	test	0.3885817012589087	0.4077067669172932	0.3963724447595416	2000	CNN_simple	10000	50	0	0.1837586665153503	707	193.5289764404297
2CNN_pool_fold4_150bp_2000seqs	train	0.9298540965207632	0.997097566421076	0.9613316807700406	1600	2CNN_pool	2000	150	4	0.4406923758983612	1752	114.11155366897584
2CNN_pool_fold4_150bp_2000seqs	test	0.3444444444444445	0.3365887910123835	0.3397207367795603	400	2CNN_pool	2000	150	4	0.4406923758983612	1752	114.11155366897584
CNN_simple_fold4_50bp_2000seqs	train	0.5961331901181525	0.9887186036611324	0.7042308814868555	1600	CNN_simple	2000	50	4	0.2409416079521179	206	23.08281683921814
CNN_simple_fold4_50bp_2000seqs	test	0.381962481962482	0.3880647911338448	0.384489222118088	400	CNN_simple	2000	50	4	0.2409416079521179	206	23.08281683921814
2CNN_pool_fold0_300bp_10000seqs	train	0.977237981857863	0.9899001538353824	0.9834598717864336	8000	2CNN_pool	10000	300	0	0.0864970107078552	2013	648.4688777923584
2CNN_pool_fold0_300bp_10000seqs	test	0.941489959483039	0.9749737945492662	0.9576989230960696	2000	2CNN_pool	10000	300	0	0.0864970107078552	2013	648.4688777923584
2CNN_fold4_150bp_2000seqs	train	0.609651237544198	0.966287117660192	0.7062687124568744	1600	2CNN	2000	150	4	0.5372533297538757	197	34.86598086357117
2CNN_fold4_150bp_2000seqs	test	0.3229249762583095	0.3169725716642607	0.3177280217117379	400	2CNN	2000	150	4	0.5372533297538757	197	34.86598086357117
2CNN_pool_fold2_150bp_10000seqs	train	0.87588815194872	0.993823869190438	0.9242409517202208	8000	2CNN_pool	10000	150	2	0.1144281106591224	2181	661.4578857421875
2CNN_pool_fold2_150bp_10000seqs	test	0.7731112588255445	0.9426016583747928	0.8383309362130215	2000	2CNN_pool	10000	150	2	0.1144281106591224	2181	661.4578857421875
2CNN_fold3_50bp_6000seqs	train	0.9594974131559496	0.9995753715498936	0.978875600771232	4800	2CNN	6000	50	3	0.1001423566540082	1769	298.01829624176025
2CNN_fold3_50bp_6000seqs	test	0.4610738255033557	0.3831993551619719	0.4038897487610025	1200	2CNN	6000	50	3	0.1001423566540082	1769	298.01829624176025
2CNN_pool_fold4_50bp_2000seqs	train	0.7471861471861473	0.9951042997020008	0.8379842230152841	1600	2CNN_pool	2000	50	4	0.2815206670761108	1002	68.89064478874207
2CNN_pool_fold4_50bp_2000seqs	test	0.3255004351610095	0.3188405797101449	0.32213608957795	400	2CNN_pool	2000	50	4	0.2815206670761108	1002	68.89064478874207
2CNN_fold1_50bp_6000seqs	train	0.973148148148148	0.999716914366596	0.9861151782481488	4800	2CNN	6000	50	1	0.0580406425893306	1795	301.183973312378
2CNN_fold1_50bp_6000seqs	test	0.8474619289340102	0.7373287148988084	0.7856026769715325	1200	2CNN	6000	50	1	0.0580406425893306	1795	301.183973312378
2CNN_pool_fold1_50bp_6000seqs	train	0.7145699418426692	0.9939844302901628	0.8075424721204404	4800	2CNN_pool	6000	50	1	0.0857704309622446	2348	371.5891511440277
2CNN_pool_fold1_50bp_6000seqs	test	0.5704767585922085	0.8311134348517527	0.6444588437784753	1200	2CNN_pool	6000	50	1	0.0857704309622446	2348	371.5891511440277
2CNN_pool_fold1_300bp_10000seqs	train	1.0	1.0	1.0	8000	2CNN_pool	10000	300	1	0.0139098835587501	3892	1128.38756108284
2CNN_pool_fold1_300bp_10000seqs	test	0.9920826873385012	0.9994282447112636	0.995728688062866	2000	2CNN_pool	10000	300	1	0.0139098835587501	3892	1128.38756108284
2CNN_fold3_300bp_10000seqs	train	0.696793245015638	0.9589824210375876	0.7802696671121199	8000	2CNN	10000	300	3	0.8607393684387207	309	238.01989912986755
