,model_name,split,mac_precision,mac_recall,mac_f1,support,model_type,ds_size,seq_len,fold,best_val_score,epoch_stop,total_time
1,2CNN_pool_fold2_140bp_2000seqs,test,0.3783873214907697,0.3935185185185185,0.3835727737422653,400,2CNN_pool,2000,140,2,0.6051983618736267,1468,95.90822553634644
0,2CNN_pool_fold0_70bp_10000seqs,train,0.9832839541684644,0.9990260192013356,0.9910428957798072,8000,2CNN_pool,10000,70,0,0.0232267795503139,4848,1089.959084033966
1,2CNN_pool_fold0_70bp_10000seqs,test,0.9710561319499867,0.991858059008812,0.9812323242520024,2000,2CNN_pool,10000,70,0,0.0232267795503139,4848,1089.959084033966
0,2CNN_pool_fold2_80bp_2000seqs,train,0.9476168547087266,0.996498599439776,0.9708989052869272,1600,2CNN_pool,2000,80,2,0.2601635912060737,2310,136.0023229122162
1,2CNN_pool_fold2_80bp_2000seqs,test,0.6986389316897791,0.7262533999106889,0.711799098548358,400,2CNN_pool,2000,80,2,0.2601635912060737,2310,136.0023229122162
0,2CNN_pool_fold2_100bp_6000seqs,train,0.9816291254793929,0.9989190023936376,0.9900495116816548,4800,2CNN_pool,6000,100,2,0.0575945381075143,2448,403.0811591148377
1,2CNN_pool_fold2_100bp_6000seqs,test,0.90539476173279,0.9666258138902816,0.9339161943639556,1200,2CNN_pool,6000,100,2,0.0575945381075143,2448,403.0811591148377
0,2CNN_pool_fold1_20bp_2000seqs,train,0.9326043453401944,0.9953249181860684,0.9620637005327732,1600,2CNN_pool,2000,20,1,0.0652646362781524,3960,232.22177052497864
1,2CNN_pool_fold1_20bp_2000seqs,test,0.9046155879340536,0.9311452117078716,0.9158685852356738,400,2CNN_pool,2000,20,1,0.0652646362781524,3960,232.22177052497864
0,2CNN_pool_fold1_100bp_10000seqs,train,0.9951328888756018,0.9997217584863662,0.9974174287547972,8000,2CNN_pool,10000,100,1,0.0196022473871707,3031,780.6268811225891
1,2CNN_pool_fold1_100bp_10000seqs,test,0.977777777777778,0.9987015396030422,0.988014293328368,2000,2CNN_pool,10000,100,1,0.0196022473871707,3031,780.6268811225891
0,2CNN_pool_fold2_110bp_2000seqs,train,0.9705513784461152,0.9981338931653836,0.9839947124157652,1600,2CNN_pool,2000,110,2,0.6273521423339844,2155,127.42822456359865
1,2CNN_pool_fold2_110bp_2000seqs,test,0.4369421487603306,0.4132931433442942,0.4208333333333333,400,2CNN_pool,2000,110,2,0.6273521423339844,2155,127.42822456359865
0,2CNN_pool_fold3_120bp_2000seqs,train,0.8778195488721804,0.9890442890442892,0.9223039476150036,1600,2CNN_pool,2000,120,3,0.5224784329533577,1527,98.66035413742064
